Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support,Search Method
CM1,Accuracy,0.9122807017543859,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,Precision,0.8813559322033898,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,Recall,0.9454545454545454,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,F1 Score,0.9122807017543859,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,AUC,0.92326656394453,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,,,CM1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
CM1,,,CM1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,CM1 Classification Report,,,0,0.9454545454545454,0.8813559322033898,0.9122807017543859,59.0,Grid Search
,,,CM1 Classification Report,,,1,0.8813559322033898,0.9454545454545454,0.9122807017543859,55.0,Grid Search
,,,CM1 Classification Report,,,accuracy,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859,Grid Search
,,,CM1 Classification Report,,,macro avg,0.9134052388289676,0.9134052388289676,0.9122807017543859,114.0,Grid Search
,,,CM1 Classification Report,,,weighted avg,0.9145297759035492,0.9122807017543859,0.9122807017543859,114.0,Grid Search
JM1,Accuracy,0.8134206219312602,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,Precision,0.841255605381166,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,Recall,0.770747740345111,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,F1 Score,0.8044596912521441,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,AUC,0.8938325501470274,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,,,JM1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
JM1,,,JM1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,JM1 Classification Report,,,0,0.7900677200902935,0.8557457212713936,0.8215962441314554,1227.0,Grid Search
,,,JM1 Classification Report,,,1,0.841255605381166,0.770747740345111,0.8044596912521441,1217.0,Grid Search
,,,JM1 Classification Report,,,accuracy,0.8134206219312602,0.8134206219312602,0.8134206219312602,0.8134206219312602,Grid Search
,,,JM1 Classification Report,,,macro avg,0.8156616627357297,0.8132467308082523,0.8130279676917997,2444.0,Grid Search
,,,JM1 Classification Report,,,weighted avg,0.8155569412028105,0.8134206219312602,0.8130630261060372,2444.0,Grid Search
KC1,Accuracy,0.7816091954022989,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,Precision,0.8095238095238095,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,Recall,0.7125748502994012,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,F1 Score,0.7579617834394905,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,AUC,0.8492572865319086,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,,,KC1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
KC1,,,KC1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,KC1 Classification Report,,,0,0.7611940298507462,0.8453038674033149,0.8010471204188482,181.0,Grid Search
,,,KC1 Classification Report,,,1,0.8095238095238095,0.7125748502994012,0.7579617834394905,167.0,Grid Search
,,,KC1 Classification Report,,,accuracy,0.7816091954022989,0.7816091954022989,0.7816091954022989,0.7816091954022989,Grid Search
,,,KC1 Classification Report,,,macro avg,0.7853589196872779,0.778939358851358,0.7795044519291694,348.0,Grid Search
,,,KC1 Classification Report,,,weighted avg,0.7843867689467279,0.7816091954022989,0.7803711110063404,348.0,Grid Search
KC3,Accuracy,0.84375,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,Precision,0.8235294117647058,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,Recall,0.875,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,F1 Score,0.8484848484848485,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,AUC,0.826171875,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,,,KC3 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
KC3,,,KC3 Best Hyperparameters,n_estimators,100.0,,,,,,Grid Search
,,,KC3 Classification Report,,,0,0.8666666666666667,0.8125,0.8387096774193549,32.0,Grid Search
,,,KC3 Classification Report,,,1,0.8235294117647058,0.875,0.8484848484848485,32.0,Grid Search
,,,KC3 Classification Report,,,accuracy,0.84375,0.84375,0.84375,0.84375,Grid Search
,,,KC3 Classification Report,,,macro avg,0.8450980392156863,0.84375,0.8435972629521017,64.0,Grid Search
,,,KC3 Classification Report,,,weighted avg,0.8450980392156863,0.84375,0.8435972629521017,64.0,Grid Search
MC1,Accuracy,0.9845559845559846,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,Precision,0.9786096256684492,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,Recall,0.9891891891891892,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,F1 Score,0.9838709677419355,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,AUC,0.9962215286539611,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,,,MC1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
MC1,,,MC1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,MC1 Classification Report,,,0,0.9900744416873449,0.9803439803439803,0.9851851851851852,407.0,Grid Search
,,,MC1 Classification Report,,,1,0.9786096256684492,0.9891891891891892,0.9838709677419355,370.0,Grid Search
,,,MC1 Classification Report,,,accuracy,0.9845559845559846,0.9845559845559846,0.9845559845559846,0.9845559845559846,Grid Search
,,,MC1 Classification Report,,,macro avg,0.9843420336778971,0.9847665847665847,0.9845280764635603,777.0,Grid Search
,,,MC1 Classification Report,,,weighted avg,0.9846150054878708,0.9845559845559846,0.9845593673550662,777.0,Grid Search
MC2,Accuracy,0.7878787878787878,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,Precision,0.8235294117647058,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,Recall,0.7777777777777778,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,F1 Score,0.8,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,AUC,0.8777777777777778,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,,,MC2 Best Hyperparameters,learning_rate,0.5,,,,,,Grid Search
MC2,,,MC2 Best Hyperparameters,n_estimators,200.0,,,,,,Grid Search
,,,MC2 Classification Report,,,0,0.75,0.8,0.7741935483870968,15.0,Grid Search
,,,MC2 Classification Report,,,1,0.8235294117647058,0.7777777777777778,0.8,18.0,Grid Search
,,,MC2 Classification Report,,,accuracy,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878,Grid Search
,,,MC2 Classification Report,,,macro avg,0.7867647058823529,0.788888888888889,0.7870967741935484,33.0,Grid Search
,,,MC2 Classification Report,,,weighted avg,0.7901069518716577,0.7878787878787878,0.7882697947214077,33.0,Grid Search
MW1,Accuracy,0.9230769230769231,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,Precision,0.92,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,Recall,0.9387755102040817,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,F1 Score,0.9292929292929293,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,AUC,0.9727891156462585,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,,,MW1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
MW1,,,MW1 Best Hyperparameters,n_estimators,50.0,,,,,,Grid Search
,,,MW1 Classification Report,,,0,0.926829268292683,0.9047619047619048,0.9156626506024096,42.0,Grid Search
,,,MW1 Classification Report,,,1,0.92,0.9387755102040817,0.9292929292929293,49.0,Grid Search
,,,MW1 Classification Report,,,accuracy,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,Grid Search
,,,MW1 Classification Report,,,macro avg,0.9234146341463415,0.9217687074829932,0.9224777899476695,91.0,Grid Search
,,,MW1 Classification Report,,,weighted avg,0.9231519699812384,0.9230769230769231,0.9230020314357663,91.0,Grid Search
PC1,Accuracy,0.937984496124031,PC1 Performance Metrics,,,,,,,,Grid Search
PC1,Precision,0.92,PC1 Performance Metrics,,,,,,,,Grid Search
PC1,Recall,0.9504132231404959,PC1 Performance Metrics,,,,,,,,Grid Search
PC1,F1 Score,0.9349593495934959,PC1 Performance Metrics,,,,,,,,Grid Search
PC1,AUC,0.9756288833926524,PC1 Performance Metrics,,,,,,,,Grid Search
PC1,,,PC1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
PC1,,,PC1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,PC1 Classification Report,,,0,0.9548872180451128,0.927007299270073,0.9407407407407408,137.0,Grid Search
,,,PC1 Classification Report,,,1,0.92,0.9504132231404959,0.9349593495934959,121.0,Grid Search
,,,PC1 Classification Report,,,accuracy,0.937984496124031,0.937984496124031,0.937984496124031,0.937984496124031,Grid Search
,,,PC1 Classification Report,,,macro avg,0.9374436090225564,0.9387102612052844,0.9378500451671183,258.0,Grid Search
,,,PC1 Classification Report,,,weighted avg,0.9385253832255056,0.937984496124031,0.9380293131096685,258.0,Grid Search
PC2,Accuracy,0.9794520547945206,PC2 Performance Metrics,,,,,,,,Grid Search
PC2,Precision,0.9735099337748344,PC2 Performance Metrics,,,,,,,,Grid Search
PC2,Recall,0.9865771812080537,PC2 Performance Metrics,,,,,,,,Grid Search
PC2,F1 Score,0.98,PC2 Performance Metrics,,,,,,,,Grid Search
PC2,AUC,0.9961045665743652,PC2 Performance Metrics,,,,,,,,Grid Search
PC2,,,PC2 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
PC2,,,PC2 Best Hyperparameters,n_estimators,200.0,,,,,,Grid Search
,,,PC2 Classification Report,,,0,0.9858156028368794,0.972027972027972,0.9788732394366197,143.0,Grid Search
,,,PC2 Classification Report,,,1,0.9735099337748344,0.9865771812080537,0.98,149.0,Grid Search
,,,PC2 Classification Report,,,accuracy,0.9794520547945206,0.9794520547945206,0.9794520547945206,0.9794520547945206,Grid Search
,,,PC2 Classification Report,,,macro avg,0.979662768305857,0.9793025766180128,0.9794366197183099,292.0,Grid Search
,,,PC2 Classification Report,,,weighted avg,0.9795363401990551,0.9794520547945206,0.979448196025468,292.0,Grid Search
PC3,Accuracy,0.91005291005291,PC3 Performance Metrics,,,,,,,,Grid Search
PC3,Precision,0.9067357512953368,PC3 Performance Metrics,,,,,,,,Grid Search
PC3,Recall,0.9162303664921466,PC3 Performance Metrics,,,,,,,,Grid Search
PC3,F1 Score,0.9114583333333334,PC3 Performance Metrics,,,,,,,,Grid Search
PC3,AUC,0.9588431279222779,PC3 Performance Metrics,,,,,,,,Grid Search
PC3,,,PC3 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
PC3,,,PC3 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,PC3 Classification Report,,,0,0.9135135135135135,0.9037433155080213,0.9086021505376344,187.0,Grid Search
,,,PC3 Classification Report,,,1,0.9067357512953368,0.9162303664921466,0.9114583333333334,191.0,Grid Search
,,,PC3 Classification Report,,,accuracy,0.91005291005291,0.91005291005291,0.91005291005291,0.91005291005291,Grid Search
,,,PC3 Classification Report,,,macro avg,0.9101246324044252,0.909986841000084,0.9100302419354839,378.0,Grid Search
,,,PC3 Classification Report,,,weighted avg,0.9100887712286676,0.91005291005291,0.9100453540137681,378.0,Grid Search
PC4,Accuracy,0.9279279279279279,PC4 Performance Metrics,,,,,,,,Grid Search
PC4,Precision,0.8943089430894309,PC4 Performance Metrics,,,,,,,,Grid Search
PC4,Recall,0.9734513274336283,PC4 Performance Metrics,,,,,,,,Grid Search
PC4,F1 Score,0.9322033898305084,PC4 Performance Metrics,,,,,,,,Grid Search
PC4,AUC,0.9859949663067306,PC4 Performance Metrics,,,,,,,,Grid Search
PC4,,,PC4 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
PC4,,,PC4 Best Hyperparameters,n_estimators,200.0,,,,,,Grid Search
,,,PC4 Classification Report,,,0,0.9696969696969697,0.8807339449541285,0.9230769230769231,218.0,Grid Search
,,,PC4 Classification Report,,,1,0.8943089430894309,0.9734513274336283,0.9322033898305084,226.0,Grid Search
,,,PC4 Classification Report,,,accuracy,0.9279279279279279,0.9279279279279279,0.9279279279279279,0.9279279279279279,Grid Search
,,,PC4 Classification Report,,,macro avg,0.9320029563932003,0.9270926361938784,0.9276401564537158,444.0,Grid Search
,,,PC4 Classification Report,,,weighted avg,0.9313237849823216,0.9279279279279279,0.9277223768749193,444.0,Grid Search
CM1,Accuracy,0.8771929824561403,CM1 Performance Metrics,,,,,,,,Random Search
CM1,Precision,0.8253968253968254,CM1 Performance Metrics,,,,,,,,Random Search
CM1,Recall,0.9454545454545454,CM1 Performance Metrics,,,,,,,,Random Search
CM1,F1 Score,0.8813559322033898,CM1 Performance Metrics,,,,,,,,Random Search
CM1,AUC,0.9180277349768875,CM1 Performance Metrics,,,,,,,,Random Search
CM1,,,CM1 Best Hyperparameters,n_estimators,300.0,,,,,,Random Search
CM1,,,CM1 Best Hyperparameters,learning_rate,1.5,,,,,,Random Search
,,,CM1 Classification Report,,,0,0.9411764705882353,0.8135593220338984,0.8727272727272727,59.0,Random Search
,,,CM1 Classification Report,,,1,0.8253968253968254,0.9454545454545454,0.8813559322033898,55.0,Random Search
,,,CM1 Classification Report,,,accuracy,0.8771929824561403,0.8771929824561403,0.8771929824561403,0.8771929824561403,Random Search
,,,CM1 Classification Report,,,macro avg,0.8832866479925303,0.8795069337442218,0.8770416024653312,114.0,Random Search
,,,CM1 Classification Report,,,weighted avg,0.8853178698379937,0.8771929824561403,0.8768902224745222,114.0,Random Search
JM1,Accuracy,0.839607201309329,JM1 Performance Metrics,,,,,,,,Random Search
JM1,Precision,0.8815911193339501,JM1 Performance Metrics,,,,,,,,Random Search
JM1,Recall,0.7830731306491372,JM1 Performance Metrics,,,,,,,,Random Search
JM1,F1 Score,0.8294168842471714,JM1 Performance Metrics,,,,,,,,Random Search
JM1,AUC,0.9038576027333505,JM1 Performance Metrics,,,,,,,,Random Search
JM1,,,JM1 Best Hyperparameters,n_estimators,300.0,,,,,,Random Search
JM1,,,JM1 Best Hyperparameters,learning_rate,1.5,,,,,,Random Search
,,,JM1 Classification Report,,,0,0.8063096111518708,0.895680521597392,0.8486486486486486,1227.0,Random Search
,,,JM1 Classification Report,,,1,0.8815911193339501,0.7830731306491372,0.8294168842471714,1217.0,Random Search
,,,JM1 Classification Report,,,accuracy,0.839607201309329,0.839607201309329,0.839607201309329,0.839607201309329,Random Search
,,,JM1 Classification Report,,,macro avg,0.8439503652429104,0.8393768261232646,0.83903276644791,2444.0,Random Search
,,,JM1 Classification Report,,,weighted avg,0.8437963523374643,0.839607201309329,0.8390721113014319,2444.0,Random Search
KC1,Accuracy,0.7816091954022989,KC1 Performance Metrics,,,,,,,,Random Search
KC1,Precision,0.8095238095238095,KC1 Performance Metrics,,,,,,,,Random Search
KC1,Recall,0.7125748502994012,KC1 Performance Metrics,,,,,,,,Random Search
KC1,F1 Score,0.7579617834394905,KC1 Performance Metrics,,,,,,,,Random Search
KC1,AUC,0.8492572865319086,KC1 Performance Metrics,,,,,,,,Random Search
KC1,,,KC1 Best Hyperparameters,n_estimators,300.0,,,,,,Random Search
KC1,,,KC1 Best Hyperparameters,learning_rate,1.0,,,,,,Random Search
,,,KC1 Classification Report,,,0,0.7611940298507462,0.8453038674033149,0.8010471204188482,181.0,Random Search
,,,KC1 Classification Report,,,1,0.8095238095238095,0.7125748502994012,0.7579617834394905,167.0,Random Search
,,,KC1 Classification Report,,,accuracy,0.7816091954022989,0.7816091954022989,0.7816091954022989,0.7816091954022989,Random Search
,,,KC1 Classification Report,,,macro avg,0.7853589196872779,0.778939358851358,0.7795044519291694,348.0,Random Search
,,,KC1 Classification Report,,,weighted avg,0.7843867689467279,0.7816091954022989,0.7803711110063404,348.0,Random Search
KC3,Accuracy,0.84375,KC3 Performance Metrics,,,,,,,,Random Search
KC3,Precision,0.8235294117647058,KC3 Performance Metrics,,,,,,,,Random Search
KC3,Recall,0.875,KC3 Performance Metrics,,,,,,,,Random Search
KC3,F1 Score,0.8484848484848485,KC3 Performance Metrics,,,,,,,,Random Search
KC3,AUC,0.826171875,KC3 Performance Metrics,,,,,,,,Random Search
KC3,,,KC3 Best Hyperparameters,n_estimators,100.0,,,,,,Random Search
KC3,,,KC3 Best Hyperparameters,learning_rate,1.0,,,,,,Random Search
,,,KC3 Classification Report,,,0,0.8666666666666667,0.8125,0.8387096774193549,32.0,Random Search
,,,KC3 Classification Report,,,1,0.8235294117647058,0.875,0.8484848484848485,32.0,Random Search
,,,KC3 Classification Report,,,accuracy,0.84375,0.84375,0.84375,0.84375,Random Search
,,,KC3 Classification Report,,,macro avg,0.8450980392156863,0.84375,0.8435972629521017,64.0,Random Search
,,,KC3 Classification Report,,,weighted avg,0.8450980392156863,0.84375,0.8435972629521017,64.0,Random Search
MC1,Accuracy,0.9871299871299871,MC1 Performance Metrics,,,,,,,,Random Search
MC1,Precision,0.9864864864864865,MC1 Performance Metrics,,,,,,,,Random Search
MC1,Recall,0.9864864864864865,MC1 Performance Metrics,,,,,,,,Random Search
MC1,F1 Score,0.9864864864864865,MC1 Performance Metrics,,,,,,,,Random Search
MC1,AUC,0.9979879142041305,MC1 Performance Metrics,,,,,,,,Random Search
MC1,,,MC1 Best Hyperparameters,n_estimators,300.0,,,,,,Random Search
MC1,,,MC1 Best Hyperparameters,learning_rate,1.5,,,,,,Random Search
,,,MC1 Classification Report,,,0,0.9877149877149877,0.9877149877149877,0.9877149877149877,407.0,Random Search
,,,MC1 Classification Report,,,1,0.9864864864864865,0.9864864864864865,0.9864864864864865,370.0,Random Search
,,,MC1 Classification Report,,,accuracy,0.9871299871299871,0.9871299871299871,0.9871299871299871,0.9871299871299871,Random Search
,,,MC1 Classification Report,,,macro avg,0.9871007371007371,0.9871007371007371,0.9871007371007371,777.0,Random Search
,,,MC1 Classification Report,,,weighted avg,0.9871299871299871,0.9871299871299871,0.9871299871299871,777.0,Random Search
MC2,Accuracy,0.8181818181818182,MC2 Performance Metrics,,,,,,,,Random Search
MC2,Precision,0.8333333333333334,MC2 Performance Metrics,,,,,,,,Random Search
MC2,Recall,0.8333333333333334,MC2 Performance Metrics,,,,,,,,Random Search
MC2,F1 Score,0.8333333333333334,MC2 Performance Metrics,,,,,,,,Random Search
MC2,AUC,0.9148148148148149,MC2 Performance Metrics,,,,,,,,Random Search
MC2,,,MC2 Best Hyperparameters,n_estimators,300.0,,,,,,Random Search
MC2,,,MC2 Best Hyperparameters,learning_rate,1.5,,,,,,Random Search
,,,MC2 Classification Report,,,0,0.8,0.8,0.8,15.0,Random Search
,,,MC2 Classification Report,,,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0,Random Search
,,,MC2 Classification Report,,,accuracy,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,Random Search
,,,MC2 Classification Report,,,macro avg,0.8166666666666667,0.8166666666666667,0.8166666666666667,33.0,Random Search
,,,MC2 Classification Report,,,weighted avg,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.0,Random Search
MW1,Accuracy,0.945054945054945,MW1 Performance Metrics,,,,,,,,Random Search
MW1,Precision,0.9583333333333334,MW1 Performance Metrics,,,,,,,,Random Search
MW1,Recall,0.9387755102040817,MW1 Performance Metrics,,,,,,,,Random Search
MW1,F1 Score,0.9484536082474226,MW1 Performance Metrics,,,,,,,,Random Search
MW1,AUC,0.9873663751214771,MW1 Performance Metrics,,,,,,,,Random Search
MW1,,,MW1 Best Hyperparameters,n_estimators,200.0,,,,,,Random Search
MW1,,,MW1 Best Hyperparameters,learning_rate,1.5,,,,,,Random Search
,,,MW1 Classification Report,,,0,0.9302325581395349,0.9523809523809523,0.9411764705882353,42.0,Random Search
,,,MW1 Classification Report,,,1,0.9583333333333334,0.9387755102040817,0.9484536082474226,49.0,Random Search
,,,MW1 Classification Report,,,accuracy,0.945054945054945,0.945054945054945,0.945054945054945,0.945054945054945,Random Search
,,,MW1 Classification Report,,,macro avg,0.9442829457364341,0.945578231292517,0.944815039417829,91.0,Random Search
,,,MW1 Classification Report,,,weighted avg,0.9453637447823494,0.945054945054945,0.9450949293277977,91.0,Random Search
PC1,Accuracy,0.9341085271317829,PC1 Performance Metrics,,,,,,,,Random Search
PC1,Precision,0.9262295081967213,PC1 Performance Metrics,,,,,,,,Random Search
PC1,Recall,0.9338842975206612,PC1 Performance Metrics,,,,,,,,Random Search
PC1,F1 Score,0.9300411522633745,PC1 Performance Metrics,,,,,,,,Random Search
PC1,AUC,0.97460336610967,PC1 Performance Metrics,,,,,,,,Random Search
PC1,,,PC1 Best Hyperparameters,n_estimators,300.0,,,,,,Random Search
PC1,,,PC1 Best Hyperparameters,learning_rate,1.5,,,,,,Random Search
,,,PC1 Classification Report,,,0,0.9411764705882353,0.9343065693430657,0.9377289377289377,137.0,Random Search
,,,PC1 Classification Report,,,1,0.9262295081967213,0.9338842975206612,0.9300411522633745,121.0,Random Search
,,,PC1 Classification Report,,,accuracy,0.9341085271317829,0.9341085271317829,0.9341085271317829,0.9341085271317829,Random Search
,,,PC1 Classification Report,,,macro avg,0.9337029893924783,0.9340954334318634,0.9338850449961561,258.0,Random Search
,,,PC1 Classification Report,,,weighted avg,0.9341664610945408,0.9341085271317829,0.9341234259408248,258.0,Random Search
PC2,Accuracy,0.9828767123287672,PC2 Performance Metrics,,,,,,,,Random Search
PC2,Precision,0.98,PC2 Performance Metrics,,,,,,,,Random Search
PC2,Recall,0.9865771812080537,PC2 Performance Metrics,,,,,,,,Random Search
PC2,F1 Score,0.9832775919732442,PC2 Performance Metrics,,,,,,,,Random Search
PC2,AUC,0.9992960060074153,PC2 Performance Metrics,,,,,,,,Random Search
PC2,,,PC2 Best Hyperparameters,n_estimators,300.0,,,,,,Random Search
PC2,,,PC2 Best Hyperparameters,learning_rate,1.5,,,,,,Random Search
,,,PC2 Classification Report,,,0,0.9859154929577465,0.9790209790209791,0.9824561403508771,143.0,Random Search
,,,PC2 Classification Report,,,1,0.98,0.9865771812080537,0.9832775919732442,149.0,Random Search
,,,PC2 Classification Report,,,accuracy,0.9828767123287672,0.9828767123287672,0.9828767123287672,0.9828767123287672,Random Search
,,,PC2 Classification Report,,,macro avg,0.9829577464788732,0.9827990801145163,0.9828668661620606,292.0,Random Search
,,,PC2 Classification Report,,,weighted avg,0.9828969708662938,0.9828767123287672,0.9828753057335232,292.0,Random Search
PC3,Accuracy,0.91005291005291,PC3 Performance Metrics,,,,,,,,Random Search
PC3,Precision,0.9067357512953368,PC3 Performance Metrics,,,,,,,,Random Search
PC3,Recall,0.9162303664921466,PC3 Performance Metrics,,,,,,,,Random Search
PC3,F1 Score,0.9114583333333334,PC3 Performance Metrics,,,,,,,,Random Search
PC3,AUC,0.9588431279222779,PC3 Performance Metrics,,,,,,,,Random Search
PC3,,,PC3 Best Hyperparameters,n_estimators,300.0,,,,,,Random Search
PC3,,,PC3 Best Hyperparameters,learning_rate,1.0,,,,,,Random Search
,,,PC3 Classification Report,,,0,0.9135135135135135,0.9037433155080213,0.9086021505376344,187.0,Random Search
,,,PC3 Classification Report,,,1,0.9067357512953368,0.9162303664921466,0.9114583333333334,191.0,Random Search
,,,PC3 Classification Report,,,accuracy,0.91005291005291,0.91005291005291,0.91005291005291,0.91005291005291,Random Search
,,,PC3 Classification Report,,,macro avg,0.9101246324044252,0.909986841000084,0.9100302419354839,378.0,Random Search
,,,PC3 Classification Report,,,weighted avg,0.9100887712286676,0.91005291005291,0.9100453540137681,378.0,Random Search
PC4,Accuracy,0.9279279279279279,PC4 Performance Metrics,,,,,,,,Random Search
PC4,Precision,0.8943089430894309,PC4 Performance Metrics,,,,,,,,Random Search
PC4,Recall,0.9734513274336283,PC4 Performance Metrics,,,,,,,,Random Search
PC4,F1 Score,0.9322033898305084,PC4 Performance Metrics,,,,,,,,Random Search
PC4,AUC,0.9859949663067306,PC4 Performance Metrics,,,,,,,,Random Search
PC4,,,PC4 Best Hyperparameters,n_estimators,200.0,,,,,,Random Search
PC4,,,PC4 Best Hyperparameters,learning_rate,1.0,,,,,,Random Search
,,,PC4 Classification Report,,,0,0.9696969696969697,0.8807339449541285,0.9230769230769231,218.0,Random Search
,,,PC4 Classification Report,,,1,0.8943089430894309,0.9734513274336283,0.9322033898305084,226.0,Random Search
,,,PC4 Classification Report,,,accuracy,0.9279279279279279,0.9279279279279279,0.9279279279279279,0.9279279279279279,Random Search
,,,PC4 Classification Report,,,macro avg,0.9320029563932003,0.9270926361938784,0.9276401564537158,444.0,Random Search
,,,PC4 Classification Report,,,weighted avg,0.9313237849823216,0.9279279279279279,0.9277223768749193,444.0,Random Search
CM1,Accuracy,0.8859649122807017,CM1 Performance Metrics,,,,,,,,Bayesian Search
CM1,Precision,0.8387096774193549,CM1 Performance Metrics,,,,,,,,Bayesian Search
CM1,Recall,0.9454545454545454,CM1 Performance Metrics,,,,,,,,Bayesian Search
CM1,F1 Score,0.8888888888888888,CM1 Performance Metrics,,,,,,,,Bayesian Search
CM1,AUC,0.9211093990755007,CM1 Performance Metrics,,,,,,,,Bayesian Search
CM1,,,CM1 Best Hyperparameters,learning_rate,1.496810188673366,,,,,,Bayesian Search
CM1,,,CM1 Best Hyperparameters,n_estimators,300.0,,,,,,Bayesian Search
,,,CM1 Classification Report,,,0,0.9423076923076923,0.8305084745762712,0.8828828828828829,59.0,Bayesian Search
